,cut1,cut2,cut3,cut4,cut5,w1,w2,w3,w4,w5
F;N3,3.3493004,3.3168716,3.8074577,4.1166897,4.2687416,-1.2163154,-0.22588533,-0.32700837,-0.16850574,1.0781969
F;N3+,3.3511753,3.8069096,3.9376216,4.4114113,4.6381216,0.09664339,-0.49950722,0.88577676,-0.081404425,-0.767305
F;Nam,3.2307072,3.4147077,3.931572,4.19867,4.4136667,-0.008464582,-0.4052914,0.0001358672,0.19183752,-0.2258307
F;Nar,3.4627113,3.7008405,3.8542094,4.534505,4.5328755,0.07555854,2.245531,0.61003625,0.9045047,0.63680506
F;Ng+,3.0586395,3.4357722,3.734872,4.1226354,4.8501687,0.5495502,-0.6177008,0.24991126,-0.03459511,-0.52697015
F;Npl,3.36276,3.7833333,4.1169534,4.2998495,4.655276,1.9118353,-2.693288,0.047876116,1.0216328,-0.3144616
F;O.co2,2.774192,3.4397578,3.6419833,4.292263,4.2166224,0.829463,0.04237859,-0.9585467,0.6297882,-0.23350805
F;O2,2.707706,3.0324376,3.805347,4.1065383,4.496927,0.44040602,0.25737694,0.47512975,0.10232839,-0.24921589
F;O3,2.7289035,3.1679134,3.7516086,3.9581213,4.4706416,2.478813,1.1841733,0.28903753,-0.2354066,-0.38367176
F;S3,3.305487,3.5250947,3.9856937,4.2136745,4.8197737,1.396135,-0.38492516,-0.24096324,0.794745,0.5102932
F;Zn,3.043955,3.232837,4.041159,4.108125,4.312606,1.3905399,-0.005041035,0.37994853,0.45561805,-0.3660974
Fe;HO,1.3740889,2.151899,2.6146326,2.613496,3.4133334,-0.624889,0.28788668,-1.0011249,0.5975589,1.9065734
Fe;N3,4.6547713,4.3115425,4.687564,4.305401,4.625328,1.4597511,-0.1902256,0.32491082,-0.33938316,0.21741839
Fe;N3+,2.5683334,2.9966667,3.425,3.8533332,4.2816668,0.62830204,0.0,0.0,0.0,0.0
Fe;Nam,3.03,3.38,3.73,3.939913,4.42019,0.51784587,0.062325433,0.0,1.6958386,2.96962
Fe;Nar,2.8535383,3.33,3.645,3.96,4.4210944,-1.1858652,-0.748968,0.0,0.0,1.3410317
Fe;Npl,4.94124,4.8618913,4.9249053,4.8710904,4.8059893,1.9575357,0.083192095,0.06795258,-0.123202875,-0.071312636
Fe;O2,2.2674742,2.8533332,3.3524766,3.9801483,4.239904,-0.49516362,-1.4013746,0.7344881,0.08379047,-0.09855819
Fe;O3,2.0217352,2.66,3.135,3.61,4.085,-0.08777861,-1.0606643,0.0,0.0,0.0
HO;HO,1.5514896,2.1423123,2.9574003,3.6822307,4.6332774,-0.3353174,0.16711123,-0.3213917,-0.43533492,0.14862303
HO;I,3.3533082,3.539982,3.6827705,4.0997586,4.257033,0.23131348,0.09178593,-0.033319846,-0.35036454,-0.44907054
HO;Mg,2.0353167,2.6165688,2.8008409,3.883367,4.0909705,-0.6665948,0.09867819,-0.5844021,-1.50984,0.4161755
HO;Mn,1.5788974,2.461303,3.0026913,3.6366668,3.9908695,-0.71615654,-0.65667576,-0.8523738,0.5147509,-0.022376284
HO;N1,2.6888862,2.9719875,3.4212506,3.9767346,4.421155,0.95946544,-0.4108713,0.46361002,-0.51525307,0.36676407
HO;N2,2.0046113,2.6253006,3.1350298,4.089522,4.2459908,-0.46294123,-0.71369606,-0.32311034,-0.5148029,0.19299416
HO;N3,2.5944657,3.0017266,3.4407988,4.0767293,4.355966,0.20450051,-0.22138453,-0.07005065,0.8097399,-0.5041545
HO;N3+,2.2806394,2.760619,3.5357893,3.7102597,4.6185374,-0.5682742,0.747038,0.0976722,-0.36665088,0.18567935
HO;Na,2.4133334,3.0119317,3.176708,3.6475966,4.306667,-0.9002836,1.0281228,-0.049526118,-0.6710111,-0.4676501
HO;Nam,2.1264517,2.7147021,2.971779,3.9962652,4.411515,0.6657164,0.15390292,0.3683143,0.07342815,-0.17593883
HO;Nar,1.9438908,3.0213852,3.1884997,3.6597712,4.690486,0.032010157,-0.13363831,0.15279782,-0.067320235,0.089144945
HO;Ng+,2.154534,2.7822561,3.5164921,3.9926775,4.2700157,-0.33308995,-0.70417297,-0.10853324,0.13334195,0.37942728
HO;Ni,2.03,2.6117003,3.1728346,3.68,4.23,1.8385795,-3.2664323,-1.199504,-0.09638263,0.0
HO;Nox,3.4975376,3.946833,4.0399594,4.627804,4.7649064,2.2590983,-0.4040266,-0.1307959,-0.3224118,0.07334866
HO;Npl,2.6132436,2.78257,3.0437605,3.7904809,4.614115,-0.35604367,0.5382137,-0.5669669,-0.13917135,0.25522426
HO;Ntr,2.5330954,2.718867,3.4582868,3.8673418,4.2717743,0.6117088,-0.11953622,0.7142639,-1.1252131,-0.19033083
HO;O-,3.8166666,4.0233335,4.23,4.4366665,4.5276766,0.581125,0.0,0.0,0.0,-0.9611514
HO;O.co2,2.065037,2.604487,3.3274262,3.8632267,4.3413963,0.5911336,0.36268064,-0.011741086,-0.16688037,-0.24873194
HO;O2,1.9076588,2.445313,2.7681227,3.7758412,4.1975117,-0.06596461,0.30202934,-0.06835754,0.13651158,0.002881389
HO;O3,1.8808455,2.349932,3.0908794,3.7297432,4.336238,0.0025350275,-0.18916811,0.18577918,0.14217356,-0.03209525
HO;P,3.0765097,3.5901487,3.8227084,4.469321,4.4695625,0.44446242,0.019628823,-0.67502093,-0.49230805,-0.45412812
HO;Pac,2.5127149,3.0749998,3.6459525,3.974452,4.689976,-0.21198884,-0.58775437,-0.0976462,1.896714,-0.8684643
HO;S2,2.5792568,3.296461,3.7230282,4.0683556,4.497022,-0.28058085,0.34027252,-0.4741397,0.44181165,-0.72363377
HO;S3,2.2488194,2.7036133,3.4054787,3.7884545,4.4405646,1.3558425,0.5929294,0.70031047,0.099656165,0.2179805
HO;Sac,3.0247865,3.7105827,3.875,4.2098765,4.8889155,-0.73903054,-1.3780497,-1.2693393,-0.061261415,-1.3733382
HO;So2,2.659362,3.1762607,3.4243467,4.0593977,4.610469,0.81459194,0.119607285,2.2285316,-0.60055304,-0.41731292
HO;Sox,3.2786856,3.68,3.955,4.23,4.505,0.0974637,0.27839372,0.0,0.0,0.0
HO;Zn,1.6879134,2.2386532,2.8777359,3.6859856,4.159947,0.57089114,-0.5366409,0.778366,0.12100026,-0.85140204
I;N3+,3.347556,3.336152,3.4501069,3.4750342,3.4756763,-1.1090251,-0.23835324,0.019518692,-0.113743626,-0.056213863
I;Nam,3.8378613,4.200844,4.2208996,4.4607377,4.7521687,0.02281469,-0.20688577,-0.11998272,-0.15723412,-0.43363234
I;Ng+,4.073924,4.284395,4.5473304,4.7766953,4.950867,0.07479576,-0.2604661,0.07918121,0.25223076,0.3284398
I;O.co2,4.155281,4.378754,4.483099,4.4838133,4.677177,-0.95022225,0.051982958,0.4300179,0.18116482,0.11090456
I;O2,3.3497052,3.4768422,3.9976277,4.2641344,4.6132956,-0.22550566,0.14258134,0.26072896,-0.24102712,-0.6501294
I;O3,3.1016667,3.4633334,3.871816,4.2618947,4.501522,0.23021162,0.0,-0.8263324,-0.2557898,-0.07019345
I;S3,3.8146503,4.3209596,4.3503475,4.5558596,4.9431,2.0251982,0.21980079,0.050127223,-0.18494488,-0.10788074
K;N3+,4.969351,5.0275617,4.781571,5.0231423,4.946345,-0.4971895,-0.19271672,0.19332127,-0.1474226,-0.01057449
K;Nar,3.225,3.49,3.755,4.02,4.285,-0.15762441,0.0,0.0,0.0,0.0
K;O2,4.247091,4.566855,4.4733152,4.4883876,4.4385777,0.17333592,-0.32350555,-0.082024984,-0.025032328,-0.3224574
Mg;N2,2.763719,2.7777002,2.995791,2.7851636,2.9552448,0.30507505,0.36603236,0.29360127,0.40369302,0.309078
Mg;N3,3.5400124,3.8389628,4.194228,4.383333,4.727422,0.12757657,-3.298239,1.6955458,0.24741887,1.6999471
Mg;N3+,4.6039686,4.557686,4.5554056,4.7659426,4.770008,-0.07130365,0.35476848,0.3173047,-0.72459364,-1.1087587
Mg;Nam,3.0162816,3.4033334,3.755,3.9481437,4.475011,1.7914108,-0.49115634,0.0,-0.5118075,-1.0958946
Mg;Nar,3.835,3.9302251,4.157399,4.396065,4.516247,-1.4803492,0.4769852,-1.7298546,-2.15286,-1.5935508
Mg;Npl,3.9197164,4.1499357,4.746118,4.779811,4.7766666,0.61059386,0.24631344,1.236354,0.60407233,-0.11879771
Mg;O2,1.9125463,2.8579245,3.0669844,3.6179805,4.3562493,0.20607789,0.4384713,-0.22582215,-0.7050759,-0.4528713
Mg;O3,2.3664098,2.883891,3.644284,3.9968858,4.5637784,-0.32367462,0.24850641,0.8885383,0.34091997,1.0002543
Mg;P,3.261849,3.8300626,4.079632,4.38474,5.116716,-0.15449835,0.14804064,1.7765154,-0.29786575,-1.0850669
