,cut1,cut2,cut3,cut4,cut5,cut6,cut7,w1,w2,w3,w4,w5,w6,w7
N2;Ng+,2.8663938,3.0874832,3.4560647,3.9874988,4.1187496,4.3154025,4.4528522,2.1543362,0.5126744,1.5298958,0.8486344,0.330713,-0.11998571,0.050628338
N2;Nox,4.5255847,4.528207,4.6562138,4.6546416,4.8153563,4.815702,5.0793066,-0.23074774,-0.011805676,-0.052687004,-0.16933748,-0.23035556,-0.16082843,-0.10035059
N2;Npl,3.136765,3.5593238,3.5579996,3.8129656,4.145323,4.655311,5.00621,-1.0266342,-0.39061138,0.14289661,0.7196626,-0.6555732,0.12720685,0.3382521
N2;Ntr,3.4191809,3.6263332,3.8830152,4.1025424,4.246035,4.8197503,4.8272114,0.6563008,-1.1427599,0.027340783,-1.2298844,0.26000324,-0.25513428,0.19280034
N2;O.co2,2.49605,2.84437,3.3302019,3.7043154,3.9780147,4.108778,4.6012754,0.46297204,0.35053396,0.57467914,0.021254005,0.065921254,-0.28202018,0.18442413
N2;O2,2.6928742,2.978542,3.0615265,3.6902092,3.9383938,4.33014,4.6826777,-0.020005846,0.053834077,0.333065,0.19074471,0.11759687,-0.0062053767,-0.06456453
N2;O3,2.4291925,3.0403807,3.1345394,3.8684044,4.1025896,4.531072,4.64572,0.16565637,0.31579816,0.4425495,0.4954416,0.17272644,0.42578155,0.22001565
N2;P,3.3584454,3.571833,3.8072848,4.1993914,4.306202,4.4816895,4.889231,0.17581505,-1.3965765,-0.13544032,-1.0467552,0.073378935,1.1977665,-1.7216746
N2;Pac,3.4191635,3.7261536,3.9435718,4.187175,4.3874955,4.5546722,4.6751184,0.28142363,-0.3827699,-0.72551996,-0.4235081,1.2610711,0.38597262,0.7081039
N2;S2,3.15223,3.5894406,3.688932,3.7592013,4.1195145,4.6278763,4.6273966,0.69543546,-1.8413169,-0.767992,-0.9950228,-1.320211,0.81280464,0.3665278
N2;S3,3.4925606,3.644687,3.754684,4.0392795,4.1365023,4.489656,4.7347503,-0.050167583,0.15917619,-0.5297268,-0.03094392,0.27516302,0.07150754,-0.36701345
N2;Sac,3.465,3.6002157,3.876678,4.3734703,4.2288165,4.5735927,4.6274824,0.2598019,-0.7332707,-0.7013155,0.5037318,0.018474322,0.4499968,-0.06777428
N2;So2,3.365323,3.65222,3.656337,3.9461126,4.1811285,4.436278,4.7061696,0.4582644,2.227686,1.3323386,0.36547694,-0.20251544,-0.18159896,-0.97359544
N2;Zn,2.372682,2.6984427,3.095,3.269599,3.825,4.221764,4.609026,-0.40822378,-0.09423075,1.4805818,-1.4539155,-1.8876767,0.030971358,-2.325124
N3+;N3+,2.6851676,3.265225,3.2318356,3.8659618,4.0682044,4.4077554,4.6116138,2.2535233,1.1682662,-0.14597738,-0.8571718,-2.0750496,-0.8046753,0.8835877
N3+;Na,3.8552241,3.8940058,3.93875,4.015,4.09125,4.1728616,4.1392136,1.5573844,0.9709988,0.14223588,0.0,0.0,0.038234506,-0.27871844
N3+;Nam,2.8938093,3.2099252,3.4319496,3.8982143,4.317059,4.373996,4.6791997,-1.37308,0.034099873,-0.9425826,-0.44714212,-0.046765484,0.04135762,0.016089406
N3+;Nar,2.7927575,3.258536,3.4901123,3.486725,3.957759,4.458022,5.1775403,1.0565315,-0.1578046,-0.8915011,0.40225348,0.7447795,0.48287734,0.70145494
N3+;Ng+,3.3638804,3.6956015,3.8612397,4.0975657,4.3440995,4.571216,4.6711135,0.689613,-1.941945,-0.023739522,1.238741,-0.31350502,-0.9966561,-0.35076424
N3+;Ni,2.0513036,2.0529623,2.0791373,1.9425637,1.9433112,1.948133,1.9380147,-0.3231547,-0.08384842,0.0055341404,0.05244693,0.094827205,0.03356486,-0.016549679
N3+;Npl,2.59375,2.9375,3.4155016,3.7407572,3.9050884,4.232781,4.418673,1.6460404,0.0,0.58141714,-1.0877275,0.2852549,-0.0145813525,-0.52303064
N3+;Ntr,3.810444,3.9094427,3.817528,4.275,4.43625,4.5975,4.75875,-3.3840303,-1.1781592,-1.7917209,-2.054408,0.0,0.0,0.031649843
N3+;O.co2,2.5281384,2.9020212,3.2557535,3.585498,4.0324783,4.2232566,4.6805625,-0.8058535,-0.21275267,-0.03617946,0.32012448,0.0811854,0.4497372,0.13504973
